Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2023-04-26T18:08:35,DANFOSS SYSTEMS LIMITED,DANFOSS SYSTEMS LIMITED,544823031,2023042606544823031,Brand Owner,In Progress
2023-04-26T21:45:52,Arvind Limited,ARVIND LIMITED,544823078,2023042606544823078,Brand Owner,In Progress
2023-05-03T18:38:39,KRITI INDUSTRIES INDIA LIMITED,KRITI INDUSTRIES (INDIA)LIMITED,544824483,2023050306544824483,Brand Owner,In Progress
2023-05-04T12:21:14,M B SUGARS AND PHARMACEUTICALS PRIVATE LIMITED,M B SUGARS AND PHARMACEUTICALS PRIVATE LIMITED,544824559,2023050406544824559,Brand Owner,In Progress
2023-05-09T15:25:54,BATHLA ALUMINIUM PVT LTD,BATHLA ALUMINIUM PRIVATE LIMITED,544825557,2023050906544825557,Brand Owner,In Progress
2023-05-10T17:28:01,NEFAB INDIA PRIVATE LIMITED,NEFAB INDIA PRIVATE LIMITED,544825832,2023051006544825832,Brand Owner,In Progress
2023-05-12T13:22:42,KANODIA CEMENT LIMITED,"BIGCEM, CONCRETE GOLD, HBM GOLD, BLUESTAR",544826176,2023051206544826176,Brand Owner,In Progress
2023-05-19T15:30:17,M/s   DOMINO PRINTECH INDIA LLP,Domino Printech India LLP,544827601,2023051906544827601,Brand Owner,In Progress
2023-05-22T11:53:17,M/s   STYLO TABLEWARES,STYLO TABLEWARES,544827925,2023052206544827925,Brand Owner,In Progress
2023-06-06T11:26:05,M/s   SHREE SHYAM SNACKS FOOD PRIVATE LIMITED,SHREE SHYAM SNACKS FOOD PRIVATE LIMITED.,544830271,2023060606544830271,Brand Owner,In Progress
2023-06-09T13:39:35,Shri MAHESH PRASHANT MOHANANI,PM INC,544830996,2023060906544830996,Brand Owner,In Progress
2023-06-28T10:14:01,M/s   ATHER ENERGY PRIVATE LIMITED,ATHER ENERGY PRIVATE LIMITED,544833719,2023062806544833719,Brand Owner,In Progress
2023-06-28T10:56:20,M/s   THE VELLORE CO-OP. SUGAR MILLS LIMITED,THE VELLORE COOP SUGAR MILLS LTD D S 2,544833723,2023062806544833723,Brand Owner,In Progress
2023-06-28T11:45:16,M/s   THE MADURANTAKAM COOPERATIVE SUGAR MILLS LIMITED,BINA UDYOG PRIVATE LIMITED,544833733,2023062806544833733,Brand Owner,In Progress
2023-06-30T11:28:34,M/s   R K GANAPATHI CHETTIAR,R K GANAPATHI CHETTIAR,544834173,2023063006544834173,Brand Owner,In Progress
2023-06-30T16:06:08,M/s   AMARAVATHI COOPERATIVE SUGAR MILLS LIMITED,AMARAVATHI COOPERATIVE SUGAR MILLS LIMITED,544834193,2023063006544834193,Brand Owner,In Progress
2023-07-01T10:12:43,M/s   TAMILNADU SUGAR CORPORATION LIMITED,TAMILNADU SUGAR CORPORATION LIMITED,544834258,2023070106544834258,Brand Owner,In Progress
2023-07-01T11:56:10,M/s   THE DHARMAPURI DISTRICT CO-OPERATIVE SUGAR MILLS LIMITED,THE DHARMAPURI DISTRICT CO-OP SUGAR MILLS LTD,544834266,2023070106544834266,Brand Owner,In Progress
2023-07-03T15:26:13,M/s   KRISHNAMURTHY COOPERATIVE SUGAR MILLS LTD,M R KRISHNAMURTHY CO-OPERATIVE SUGAR MILL LIMITED,544834446,2023070306544834446,Brand Owner,In Progress
